regime,seed,query_id,main_nDCG,abl_nDCG,abl_served,absdiff
asymmetric,1,pancreas_246,0.0,0.0,False,0.0
asymmetric,1,pancreas_255,0.0,0.0,False,0.0
asymmetric,1,pancreas_258,0.0,0.0,False,0.0
asymmetric,1,pancreas_266,0.0,0.0,False,0.0
asymmetric,1,pancreas_269,0.0,0.0,False,0.0
asymmetric,1,pancreas_280,0.0,0.0,False,0.0
asymmetric,1,pancreas_283,0.0,0.0,False,0.0
asymmetric,1,pancreas_289,0.0,0.0,False,0.0
asymmetric,1,pancreas_294,0.0,0.0,False,0.0
asymmetric,1,pancreas_297,0.0,0.0,False,0.0
asymmetric,1,pancreas_300,0.0,0.0,False,0.0
asymmetric,1,pancreas_303,0.0,0.0,False,0.0
asymmetric,1,pancreas_304,0.0,0.0,False,0.0
asymmetric,1,pancreas_315,0.0,0.0,False,0.0
asymmetric,1,pancreas_328,0.0,0.0,False,0.0
asymmetric,1,pancreas_329,0.0,0.0,False,0.0
asymmetric,1,pancreas_334,0.0,0.0,False,0.0
asymmetric,1,pancreas_345,0.0,0.0,False,0.0
asymmetric,1,pancreas_364,0.0,0.0,False,0.0
asymmetric,1,pancreas_366,0.0,0.0,False,0.0
asymmetric,1,pancreas_372,0.0,0.0,False,0.0
asymmetric,1,pancreas_377,0.0,0.0,False,0.0
asymmetric,1,pancreas_386,0.0,0.0,False,0.0
asymmetric,1,pancreas_387,0.0,0.0,False,0.0
asymmetric,1,pancreas_391,0.0,0.0,False,0.0
asymmetric,1,pancreas_409,0.0,0.0,False,0.0
dataset_style,0,FLARE22_Tr_0006,0.02892617601035804,0.028926176010358,True,3.8163916471489756e-17
dataset_style,0,FLARE22_Tr_0010,0.16104258782393982,0.1610425878239398,True,2.7755575615628914e-17
dataset_style,0,FLARE22_Tr_0011,0.0,0.0,True,0.0
dataset_style,0,FLARE22_Tr_0014,0.314880130667631,0.314880130667631,True,0.0
dataset_style,0,FLARE22_Tr_0018,0.07336392209936007,0.07336392209936,True,6.938893903907228e-17
dataset_style,0,FLARE22_Tr_0021,0.013541194909935826,0.0135411949099358,True,2.6020852139652106e-17
