stratum,family,query_id,query_source,method,metric,value,n_candidates,n_graded_relevant,n_binary_relevant
same-source,primary,Q0014,msd_pancreas,OAKG-Union,precision@10,1.0,280,280,280
same-source,primary,Q0014,msd_pancreas,OAKG-Union,recall@10,0.03571428571428571,280,280,280
same-source,primary,Q0014,msd_pancreas,OAKG-Union,map,1.0,280,280,280
same-source,primary,Q0014,msd_pancreas,WL,ndcg@10,1.0,280,280,280
same-source,primary,Q0014,msd_pancreas,WL,precision@10,1.0,280,280,280
same-source,primary,Q0014,msd_pancreas,WL,recall@10,0.03571428571428571,280,280,280
same-source,primary,Q0014,msd_pancreas,WL,map,1.0,280,280,280
same-source,primary,Q0014,msd_pancreas,ZeroImputation,ndcg@10,1.0,280,280,280
same-source,primary,Q0014,msd_pancreas,ZeroImputation,precision@10,1.0,280,280,280
same-source,primary,Q0014,msd_pancreas,ZeroImputation,recall@10,0.03571428571428571,280,280,280
same-source,primary,Q0014,msd_pancreas,ZeroImputation,map,1.0,280,280,280
same-source,primary,Q0015,msd_pancreas,MissingnessIndicators,ndcg@10,1.0,280,280,131
same-source,primary,Q0015,msd_pancreas,MissingnessIndicators,precision@10,1.0,280,280,131
same-source,primary,Q0015,msd_pancreas,MissingnessIndicators,recall@10,0.07633587786259542,280,280,131
same-source,primary,Q0015,msd_pancreas,MissingnessIndicators,map,0.8466907020970914,280,280,131
same-source,primary,Q0015,msd_pancreas,OAKG,ndcg@10,0.9371166382005486,280,280,131
same-source,primary,Q0015,msd_pancreas,OAKG,precision@10,0.9,280,280,131
same-source,primary,Q0015,msd_pancreas,OAKG,recall@10,0.06870229007633588,280,280,131
same-source,primary,Q0015,msd_pancreas,OAKG,map,0.5934385537895585,280,280,131
same-source,primary,Q0015,msd_pancreas,OAKG-Union,ndcg@10,0.9371166382005486,280,280,131
same-source,primary,Q0015,msd_pancreas,OAKG-Union,precision@10,0.9,280,280,131
same-source,primary,Q0015,msd_pancreas,OAKG-Union,recall@10,0.06870229007633588,280,280,131
same-source,primary,Q0015,msd_pancreas,OAKG-Union,map,0.5934385537895585,280,280,131
same-source,primary,Q0015,msd_pancreas,WL,ndcg@10,1.0,280,280,131
same-source,primary,Q0015,msd_pancreas,WL,precision@10,1.0,280,280,131
